state_code,name,County,order_date,phone,order_id
OH,PMd,Bucks,7/12/2021 22:28,7317876756,3cf04251-d23a-443e-9a06-4036dd9eac79
GA,IPy,Monroe,2/13/2022 18:09,2883855672,f5b12b7f-36f2-4947-9593-96fd47dd0e1b
NY,otV,Summit,4/12/2021 20:35,7436935292,d2574457-2dae-484a-8f59-63396052ec25
GA,USL,Navajo,3/21/2020 16:37,2053985343,df2267cc-c4af-4760-be75-25510acbee09
CA,aQz,Will,11/5/2024 16:26,2138708486,dab072ef-aec1-4115-af9b-46c3264ab6cc
FL,DGn,Summit,3/10/2020 5:01,1550332075,523388cc-9882-4ec1-887d-da5154793656
CA,ewD,Fulton,8/30/2024 21:37,1693190766,d60d1d1b-923f-426d-9dea-8b7eafd222f5
NY,GvP,Bronx,7/23/2021 6:18,9885796046,c74fe912-8ca6-4e76-bc7a-81918c1a316b
CA,OLc,Fulton,1/31/2021 17:48,8626719356,f24ef873-e735-4d42-ba67-170c46f740b6
FL,Tqk,Durham,1/24/2023 21:47,9108108669,a9205abe-f6b9-419f-8e8b-9276ded083d5
TX,WWA,DeKalb,1/14/2024 16:20,5714566095,86a0aa94-86df-4e6c-83c9-644eafa2750f
GA,zjh,Orange,1/24/2024 10:10,7739540412,2020fe53-b7fe-4542-a491-b4ae3de41d9d
OH,Yjy,Fulton,7/12/2021 5:11,9155953736,77f6d066-a67b-4563-b298-b39c47eda841
IL,Gtn,Navajo,4/1/2021 6:47,4599242989,f583fccc-d1e5-4467-8e32-0e5eff38593a
NY,sWQ,Queens,2/27/2020 10:19,4383983399,8f76090a-8114-4fce-a037-f7bd14c080b1
CA,yId,Bronx,10/13/2024 0:34,6370164206,92dc7dfe-4426-4884-8512-e38bf5ef5649
FL,dVg,Orange,7/20/2021 18:40,1445598487,acf8b6a1-e14a-43d3-b509-f3a3c76ee9ee
PA,MNF,Navajo,5/10/2022 9:10,5544246894,fc20809d-e242-49b2-9360-afe6fd80ab47
NY,fxU,Bucks,1/20/2023 3:22,6961439368,5ee0c185-0c1c-4ae1-b839-e697816c0aac
PA,zGr,Navajo,12/24/2020 18:11,1496698108,e780381d-2269-47dd-9e1c-0fd191cce9bb
PA,dOz,Pima,7/30/2024 12:29,2905087231,466e4ed4-7096-4569-9aa0-e6a0ae65f40f
AZ,aCR,Wake,4/7/2022 0:45,9661942913,0e617ee0-1c50-48cd-b477-134912573562
AZ,vzq,Lake,5/4/2024 2:55,7259147843,643c5ea7-f15b-4329-a0b5-536ea43c110f
OH,Ayk,Monroe,4/27/2022 22:08,5174764027,8ee72684-0161-40c7-87ff-1ed9a6d6a6de
GA,GNK,Wake,12/3/2024 20:36,8403009030,4fca14e0-d20c-4e89-a5ef-c2b0001e94f4
NC,tQs,Pinal,3/16/2024 9:15,6059451263,ed0d8bb4-47e1-4630-b1fd-e383ee1067f2
FL,tXI,Medina,4/14/2020 1:33,8287924994,859263f3-88fc-4d39-b3b8-87b49d34646d
OH,jTH,Dallas,2/14/2023 3:41,3057003225,40f7048e-be58-419d-96f7-1f08eb598854
PA,BlR,Medina,5/6/2024 5:25,8697799028,b53edaeb-48f7-422a-aa67-62d1cfef25c3
CA,NDM,Orange,10/8/2021 20:54,5252940503,53f3ac48-8dce-4ba6-8ccf-009c947d3cab
OH,xiM,Orange,12/27/2024 19:00,9879667518,47946c66-5af7-44ad-8f61-ed8c76ca16e2
FL,Pls,Orange,4/15/2023 4:08,3896326522,9a92b88b-f638-4e67-a7bd-e0db98a6ed14
NY,nOc,Will,7/6/2020 13:15,6704801627,0f54b676-ed19-4fc0-89eb-dfd2bbad390b
NY,nUT,Monroe,12/15/2021 0:33,4443286437,2a588730-6eea-4a99-a920-6c47fe063017
GA,MSS,Orange,9/13/2024 7:18,7238712256,ec77d762-08b5-47bf-8f80-3b72614b1f78
PA,zGZ,Bucks,10/2/2021 15:37,9768475762,735a6c73-d73a-424c-86a1-7043975597df
NC,mEt,Duval,3/7/2022 21:08,2302352386,64e2aded-2df0-48a2-96ed-436fb41cdfe8
AZ,liE,Orange,3/28/2020 11:53,2839938175,3f7fcab5-09f1-4920-addd-fe3b374aa1c2
OH,eJZ,Pinal,9/10/2020 3:55,2060009565,e4a8440c-b390-45a0-8681-853fd6f82c4c
NY,czJ,Bucks,8/19/2024 10:25,8663932340,2172299f-6670-4601-9864-d25619c8be13
NC,JHU,Orange,10/3/2022 0:57,4387044234,93cfcbf3-ad65-4ea3-ae59-3e34f0e6a631
NC,uqR,Orange,1/15/2022 21:56,4430380445,d2e045df-7101-44d8-9b7d-91a5f6f04b9b
NY,Cvp,Orange,2/19/2022 19:54,9778914981,413e2b76-658c-42bd-a76d-a9bbc3ffbc65
CA,tCo,Bucks,9/12/2023 19:37,4285564584,7fcc5fb0-9798-4f5e-a12b-8715cffb895b
NC,PKa,Orange,6/7/2023 18:37,9423954864,fef9d684-c292-4b61-9bca-f059c0773a30
IL,Uua,Orange,8/6/2021 13:17,8345008018,e2904c06-f808-4e69-9780-4c1a939650cb
NC,LPI,Collin,9/8/2024 14:06,4960892125,231ce2cf-a913-4976-8203-df177eef0203
PA,CWw,Dallas,4/4/2024 5:03,1426632530,3f5b71e3-d5c8-4e09-b7ce-1a1273459e1d
AZ,awk,Dallas,7/21/2023 19:44,5324790420,38161510-4ea3-4226-8837-2cd2d9b02d26
NY,JAy,Bucks,7/27/2023 8:00,4775298574,d3af343f-397c-4ce9-af9a-c25b9aaeab85
TX,aUW,Orange,5/19/2020 21:46,7951579062,71b2bb21-437e-42fe-a9d1-03d11793001a
CA,zhS,Summit,7/31/2020 9:40,9404451046,3455a2d9-a055-49ac-a73f-a6aeb79803a2
GA,ydB,Will,6/15/2022 5:49,2159744025,fd622520-0277-42e1-a812-3051aed8501a
NC,JbO,Medina,3/14/2022 19:30,2888246133,3d9ef084-24ec-48c3-acf9-0fb6b3f2e43a
AZ,sWU,DeKalb,7/11/2023 0:57,1274832759,f8e79ef7-ac25-4974-8433-9ed97d57e684
TX,wEh,Orange,2/9/2024 19:09,6657010385,0eed8feb-baff-48ba-8113-c4b282423c4d
PA,JQa,Summit,3/15/2022 21:49,6143212159,6d13f7e1-d13e-4934-bbd3-5b7cd4c82906
IL,hkW,Wake,5/22/2022 18:21,7575974087,c8a33064-77ba-4ffe-889c-2e41db814e8f
OH,FBW,Durham,4/6/2024 20:26,2826655655,a8a22498-874d-415d-87be-6b36dee3a543
OH,GaR,Bronx,7/5/2020 9:31,5174141390,f8c74bda-68dd-40b6-bdea-869f01d0b8f0
PA,EzH,Cobb,3/29/2022 16:34,2899567974,cbb1b44e-1bce-471b-8b3c-8e2aec1002bc
NC,zBB,Bexar,7/8/2021 0:26,2563926964,5b696fdf-31f3-43b5-bc44-78849c68516c
NC,oZA,Pima,2/26/2023 10:06,3406796364,1d36d353-5f14-4650-bcad-9592b890c129
NC,gPG,Kane,1/8/2023 14:17,9144915577,8df6b2e0-ba22-439d-8977-601a34a27a3d
FL,niq,Navajo,3/30/2020 11:41,3274374692,89ff5a82-f4b0-447f-bd6c-12bcdbc56d58
AZ,VRE,Bucks,11/13/2024 7:06,1108436478,f19ca12d-cb08-48b1-b931-30be93c1425f
GA,kzu,Duval,11/12/2023 15:00,7702507440,0d859281-8e45-42fb-bfa7-6fda10c6bdc0
FL,aFR,Kane,1/28/2022 23:47,2930524273,3c80be3f-2bc1-4a7a-9917-07513df7d512
FL,eOT,Summit,3/19/2021 16:24,7243542174,c49e786f-e805-46ef-903c-5a2aaab62b25
NC,RyD,Monroe,3/22/2020 5:26,4405511645,e3a94ea7-9843-4db7-a13b-558b7ee08857
PA,FWt,DeKalb,2/20/2023 1:22,5085612059,7f8c9b86-ba34-4324-9ca7-4472aebe7016
FL,EsT,Kane,5/11/2021 15:58,5221976058,e987a2b6-7cbb-4ee8-abb5-e4f10faedd4e
TX,Juo,Will,7/8/2022 4:18,3298682858,e395ff66-1094-4c01-b3a5-aae114888bf4
TX,JjV,Orange,11/12/2024 2:30,1808663288,d692d423-75c4-4648-8d0a-a2e90e34c891
AZ,Kyy,Pinal,1/25/2022 7:05,5658056915,8481b162-9ff6-4fdc-8685-367ad58bb519
FL,yyN,Orange,11/17/2022 3:28,8549365344,b7f45ef6-4f43-4e0f-9949-622169114d7d
FL,scw,Summit,2/23/2022 22:38,3784644570,f1aebff3-d391-49d0-80a3-0da5a1082a21
NY,Ekv,Navajo,8/27/2024 14:18,3064370158,ab3a25a8-1c5c-4207-a05b-d0f5af58f9d0
FL,hqK,Bucks,4/29/2021 9:47,6305851926,83206b0d-ca89-42b8-a264-6b9d06826aba
AZ,izS,Orange,10/14/2023 10:06,7264652447,bee533f1-17a1-4ef1-813c-008e4f5e09fa
FL,MYW,Orange,9/28/2021 20:20,6275098026,d670a833-02ae-4e3f-b126-8aac043612db
IL,fvG,Medina,9/16/2022 6:33,6689770233,c5ea384a-69ec-41c9-b41d-0494da778479
PA,AOM,Summit,11/10/2023 11:08,3960727054,4fe9115e-9bcb-46d9-88d7-6f5d8bacc485
CA,PNp,Pinal,5/24/2022 4:26,7248941221,33942709-1239-4760-877f-4d959e6c2d1a
NC,Qba,Bucks,12/25/2023 12:03,3231940487,0d1dd98f-92a2-41be-8c99-0095483a2840
IL,Dpa,Cobb,8/26/2024 14:53,1091641576,8984344c-2652-4053-855e-a5af85a5ee68
GA,rOQ,Summit,11/5/2022 20:49,8378186758,b736d75f-db26-441f-b786-5aba32cad228
CA,EYC,Orange,8/19/2023 9:45,9246742669,e8e82f61-2b7d-4cb1-be45-de31864a716d
CA,bzM,Bucks,9/28/2024 16:33,5709258413,d440c96f-9883-4d37-8fc1-6de4839774be
IL,zhk,Bucks,11/15/2020 1:31,7162722458,37018e61-1533-4428-8c4e-8e1f32a859be
CA,xPA,Pinal,8/11/2022 9:50,8267017749,38f07241-cf76-416d-b049-d21777d12990
AZ,svF,Bronx,3/22/2020 23:01,9786863285,ca1fe1b5-99ce-436a-bcef-a3440e4af5cd
NC,QzM,Orange,12/11/2022 0:46,4462167199,4091ff54-bb84-457c-bce7-0722f354b7c6
CA,ARg,DeKalb,1/1/2023 12:58,7113432765,284eee2e-0bbf-4b7f-8ba0-169fcbda853a
NY,Lud,Wake,12/16/2021 19:24,1640143864,afeb83d9-cf33-47f7-84f7-42cb0489a9a7
CA,uZl,Summit,3/14/2023 18:31,6932221297,d8890cc8-f548-46f0-91e9-e54ac521bb1c
FL,jZE,Medina,8/17/2021 8:25,9397735716,3b3dac56-9b66-4aba-94cc-0e9b9c3b1453
NC,Ojv,Fulton,6/3/2020 8:12,5555316447,e071478a-75b2-42b8-b9fb-46d5b9f3672e
CA,VbT,Bexar,12/17/2021 12:14,8830008290,96fbe710-4517-4b01-968a-961501f1a178
AZ,yuw,Queens,5/3/2021 21:37,6104089555,3978bb64-e8b8-4d60-b59b-a3cb75b0ba5c
OH,Qvp,Medina,1/8/2020 20:49,9041606404,006970cf-91e8-4be7-a61a-79f3bdcfb2b4
